league,team,team_short,program,overall_GK/g,overall_saves/xGA,avg_playerprice_starter,txCS_GW1,txCS_GW_1-3,txCS_GW_1-5,txCS_GW_all,txG_GW1,txG_GW_1-3,txG_GW_1-5,txG_GW_all,txP_rest_GW_1-3,txP_rest_GW_1-5,txP_rest_GW_all
4. Superliga,Brøndby IF,BIF,"GW1[a]LBK, GW2[h]SIF, GW3[a]FCN, ",1.803921568627451,2.26027397260274,5050727.2727272725,0.39062783535852097,0.7897744343484048,0.7897744343484048,0.7897744343484048,1.5699999999999985,4.579999999999998,4.579999999999998,4.579999999999998,51882.60541859061,51882.60541859061,51882.60541859061
4. Superliga,Viborg FF,VFF,"GW1[h]RFC, GW2[h]FCN, GW3[a]FCK, ",2.0588235294117645,2.7777777777777777,3932272.727272727,0.41065575275234545,0.8780263422296576,0.8780263422296576,0.8780263422296576,1.4731735080539572,3.543173508053957,3.543173508053957,3.543173508053957,37528.64980080579,37528.64980080579,37528.64980080579
4. Superliga,Randers FC,RFC,"GW1[a]VFF, GW2[h]AGF, GW3[a]AAB, ",1.6666666666666667,2.757201646090534,3371272.727272727,0.22919697139128675,0.8626193309936585,0.8626193309936585,0.8626193309936585,0.8900000000000003,3.37,3.37,3.37,35729.69721530212,35729.69721530212,35729.69721530212
4. Superliga,Silkeborg IF,SIF,"GW1[h]FCN, GW2[a]BIF, GW3[h]FCM, ",1.0588235294117647,1.9969742813918308,4358363.636363637,0.26986988306893583,0.6350563853656668,0.6350563853656668,0.6350563853656668,1.2404137265129447,4.170413726512944,4.170413726512944,4.170413726512944,35253.71599002891,35253.71599002891,35253.71599002891
4. Superliga,AaB,AAB,"GW1[h]FCM, GW2[a]OB, GW3[h]RFC, ",2.0588235294117645,3.0674002751031635,4004818.1818181816,0.24220235171829016,0.7217859523449697,0.7217859523449697,0.7217859523449697,0.8950000000000004,3.3150000000000004,3.3150000000000004,3.3150000000000004,25586.00681840381,25586.00681840381,25586.00681840381
4. Superliga,OB,OB,"GW1[a]FCK, GW2[h]AAB, GW3[a]AGF, ",1.588235294117647,2.021531100478469,3539909.090909091,0.15107180883637208,0.7525130030616372,0.7525130030616372,0.7525130030616372,0.7000000000000002,3.3,3.3,3.3,25164.047285146004,25164.047285146004,25164.047285146004
4. Superliga,AC Horsens,ACH,"GW1[a]AGF, GW2[h]FCK, GW3[a]LBK, ",1.947368421052632,2.4738675958188154,3048181.8181818184,0.24148699768861795,0.6574563280840754,0.6574563280840754,0.6574563280840754,0.7250000000000002,2.975,2.975,2.975,13788.731920492583,13788.731920492583,13788.731920492583
4. Superliga,Lyngby BK,LBK,"GW1[h]BIF, GW2[a]FCM, GW3[h]ACH, ",2.1578947368421053,1.9771863117870725,2631000.0,0.20804518235702074,0.6003216669946896,0.6003216669946896,0.6003216669946896,0.9400000000000004,2.880000000000001,2.880000000000001,2.880000000000001,7181.3945814093895,7181.3945814093895,7181.3945814093895
88. Champions League Knockout,Manchester City,MAC,"GW1[h]RBL, ",1.0793650793650793,5.781290591079335,4432636.363636363,0.45158123492259217,0.45158123492259217,0.45158123492259217,0.45158123492259217,2.268206244513901,2.268206244513901,2.268206244513901,2.268206244513901,38561.5439594335,38561.5439594335,38561.5439594335
88. Champions League Knockout,Benfica,BEN,"GW1[h]BRU, ",2.0247358427443802,2.536179056685995,3731363.6363636362,0.5142735277066321,0.5142735277066321,0.5142735277066321,0.5142735277066321,1.874999999999992,1.874999999999992,1.874999999999992,1.874999999999992,34378.10100137061,34378.10100137061,34378.10100137061
88. Champions League Knockout,Napoli,NAP,"GW1[h]FFM, ",1.5161290322580645,4.88894158986851,4188636.3636363638,0.463013068311228,0.463013068311228,0.463013068311228,0.463013068311228,1.784999999999994,1.784999999999994,1.784999999999994,1.784999999999994,31103.617295956443,31103.617295956443,31103.617295956443
88. Champions League Knockout,Chelsea,CHE,"GW1[h]BVB, ",1.7419354838709675,3.585757107694548,4077181.8181818184,0.4189515492476388,0.4189515492476388,0.4189515492476388,0.4189515492476388,1.5299999999999994,1.5299999999999994,1.5299999999999994,1.5299999999999994,23697.361865265142,23697.361865265142,23697.361865265142
88. Champions League Knockout,Bayern München,BAY,"GW1[h]PSG, ",1.1607142857142858,4.444298363233287,5762727.2727272725,0.28681080592133706,0.28681080592133706,0.28681080592133706,0.28681080592133706,1.7599999999999945,1.7599999999999945,1.7599999999999945,1.7599999999999945,21447.266402460795,21447.266402460795,21447.266402460795
88. Champions League Knockout,Tottenham,TOT,"GW1[h]ACM, ",1.8253968253968251,3.7005688110677952,4211727.2727272725,0.4086075986408483,0.4086075986408483,0.4086075986408483,0.4086075986408483,1.4035597811392924,1.4035597811392924,1.4035597811392924,1.4035597811392924,21048.254054715362,21048.254054715362,21048.254054715362
88. Champions League Knockout,Internazionale,INT,"GW1[a]FCP, ",1.8225806451612905,4.6397629632706,4129272.727272727,0.31670092338509337,0.31670092338509337,0.31670092338509337,0.31670092338509337,1.2086775833416639,1.2086775833416639,1.2086775833416639,1.2086775833416639,19156.27721169522,19156.27721169522,19156.27721169522
88. Champions League Knockout,Real Madrid,RMA,"GW1[h]LIV, ",1.852459016393443,4.6086377722635055,5337727.2727272725,0.28864044590660914,0.28864044590660914,0.28864044590660914,0.28864044590660914,1.5749999999999984,1.5749999999999984,1.5749999999999984,1.5749999999999984,17878.172136682457,17878.172136682457,17878.172136682457
88. Champions League Knockout,Liverpool,LIV,"GW1[a]RMA, ",1.2258064516129032,4.460878683121679,4184181.8181818184,0.207007552681153,0.207007552681153,0.207007552681153,0.207007552681153,1.2425734972552425,1.2425734972552425,1.2425734972552425,1.2425734972552425,11756.974857828023,11756.974857828023,11756.974857828023
88. Champions League Knockout,FC Porto,FCP,"GW1[h]INT, ",2.067014115124177,2.4619281588172854,3489545.4545454546,0.298591881336237,0.298591881336237,0.298591881336237,0.298591881336237,1.1497974097957768,1.1497974097957768,1.1497974097957768,1.1497974097957768,9560.672774579665,9560.672774579665,9560.672774579665
88. Champions League Knockout,Paris SG,PSG,"GW1[a]BAY, ",1.9344262295081969,3.5162148129860453,4895636.363636363,0.1720448638230515,0.1720448638230515,0.1720448638230515,0.1720448638230515,1.2489324934164632,1.2489324934164632,1.2489324934164632,1.2489324934164632,8570.598584372121,8570.598584372121,8570.598584372121
