team,player,pos,value [m],xP [k],xV [k],xP_gebyr [k],program,round,game
FCP,S. Portugal Lima,G,3.0,-5.0,-1.7,-35.0,"GW1[h]INT, ",2,CLK
FCP,Z. Sanusi,F,3.5,30.5,8.7,-4.4,"GW1[h]INT, ",2,CLK
FCP,I. Marcano,F,3.0,26.4,8.9,-3.4,"GW1[h]INT, ",2,CLK
FCP,D. Carmo,F,2.5,0.0,0.0,-25.0,"GW1[h]INT, ",2,CLK
FCP,F. Cardoso,F,2.5,29.7,11.9,4.7,"GW1[h]INT, ",2,CLK
FCP,Pepe,F,2.5,26.8,10.8,2.0,"GW1[h]INT, ",2,CLK
FCP,J. Mario,F,2.5,0.0,0.0,-24.8,"GW1[h]INT, ",2,CLK
FCP,Wendell,F,2.5,0.0,0.0,-24.8,"GW1[h]INT, ",2,CLK
FCP,R. Conceicao,F,2.0,0.0,0.0,-20.0,"GW1[h]INT, ",2,CLK
FCP,Otavio,M,3.5,24.9,7.2,-9.6,"GW1[h]INT, ",2,CLK
FCP,S. Eustaquio,M,3.0,21.1,7.0,-8.8,"GW1[h]INT, ",2,CLK
FCP,M. Uribe,M,3.0,0.0,0.0,-29.8,"GW1[h]INT, ",2,CLK
FCP,M. Grujic,M,2.5,20.7,8.3,-4.2,"GW1[h]INT, ",2,CLK
FCP,A. Franco,M,2.0,0.0,0.0,-20.0,"GW1[h]INT, ",2,CLK
FCP,B. Costa,M,2.0,0.0,0.0,-20.0,"GW1[h]INT, ",2,CLK
FCP,B. Folha,M,2.0,0.0,0.0,-20.0,"GW1[h]INT, ",2,CLK
FCP,M. Taremi,A,6.0,69.5,11.6,9.4,"GW1[h]INT, ",2,CLK
FCP,Evanilson,A,4.5,43.4,9.7,-1.5,"GW1[h]INT, ",2,CLK
FCP,Galeno,A,3.5,42.3,12.1,7.4,"GW1[h]INT, ",2,CLK
FCP,A. Martinez,A,3.0,0.0,0.0,-30.0,"GW1[h]INT, ",2,CLK
FCP,E. Cossa,A,3.0,0.0,0.0,-29.6,"GW1[h]INT, ",2,CLK
FCP,G. Veron,A,2.0,0.0,0.0,-20.0,"GW1[h]INT, ",2,CLK
FCP,D. Namaso,A,2.0,0.0,0.0,-20.0,"GW1[h]INT, ",2,CLK
FCP,G. Borges,A,2.0,0.0,0.0,-19.9,"GW1[h]INT, ",2,CLK
INT,A. Onana,G,4.6,67.7,14.6,21.3,"GW1[a]FCP, ",2,CLK
INT,S. Handanovic,G,4.5,-3.2,-0.7,-48.1,"GW1[a]FCP, ",2,CLK
INT,A. Cordaz,G,4.0,-5.0,-1.3,-45.0,"GW1[a]FCP, ",2,CLK
INT,N. Botis,G,3.5,-5.0,-1.4,-40.0,"GW1[a]FCP, ",2,CLK
INT,R. Gosens,F,4.5,53.7,11.8,8.3,"GW1[a]FCP, ",2,CLK
INT,A. Bastoni,F,4.1,0.0,0.0,-41.0,"GW1[a]FCP, ",2,CLK
INT,F. Acerbi,F,4.1,38.6,9.4,-2.3,"GW1[a]FCP, ",2,CLK
INT,M. Skriniar,F,4.1,0.0,0.0,-40.8,"GW1[a]FCP, ",2,CLK
INT,F. Dimarco,F,4.0,0.0,0.0,-40.1,"GW1[a]FCP, ",2,CLK
INT,M. Darmian,F,3.6,43.4,12.1,7.5,"GW1[a]FCP, ",2,CLK
INT,S. de Vrij,F,3.5,38.4,11.0,3.4,"GW1[a]FCP, ",2,CLK
INT,D. D'Ambrosio,F,2.5,0.0,0.0,-25.0,"GW1[a]FCP, ",2,CLK
INT,R. Bellanova,F,2.5,35.7,14.3,10.8,"GW1[a]FCP, ",2,CLK
INT,A. Fontanarosa,F,2.0,0.0,0.0,-20.0,"GW1[a]FCP, ",2,CLK
INT,M. Zanotti,F,2.0,0.0,0.0,-20.0,"GW1[a]FCP, ",2,CLK
INT,H. Calhanoglu,M,5.6,0.0,0.0,-55.8,"GW1[a]FCP, ",2,CLK
INT,N. Barella,M,5.0,34.8,6.9,-15.7,"GW1[a]FCP, ",2,CLK
INT,D. Dumfries,M,4.5,0.0,0.0,-45.4,"GW1[a]FCP, ",2,CLK
INT,H. Mkhitaryan,M,4.5,0.0,0.0,-45.3,"GW1[a]FCP, ",2,CLK
INT,M. Brozovic,M,4.0,0.0,0.0,-40.4,"GW1[a]FCP, ",2,CLK
INT,R. Gagliardini,M,3.0,37.0,12.3,7.0,"GW1[a]FCP, ",2,CLK
INT,K. Asllani,M,3.0,38.8,13.0,8.9,"GW1[a]FCP, ",2,CLK
INT,V. Carboni,M,2.0,0.0,0.0,-20.0,"GW1[a]FCP, ",2,CLK
INT,L. Martinez,A,7.0,79.6,11.3,9.1,"GW1[a]FCP, ",2,CLK
INT,E. Dzeko,A,6.5,0.0,0.0,-65.3,"GW1[a]FCP, ",2,CLK
INT,R. Lukaku,A,6.2,0.0,0.0,-62.1,"GW1[a]FCP, ",2,CLK
INT,J. Correa,A,4.5,53.6,11.9,8.6,"GW1[a]FCP, ",2,CLK
LIV,A. Becker,G,4.5,63.4,14.2,18.6,"GW1[a]RMA, ",2,CLK
LIV,A. del Castillo,G,4.0,-5.0,-1.3,-45.0,"GW1[a]RMA, ",2,CLK
LIV,C. Kelleher,G,4.0,-5.0,-1.3,-45.0,"GW1[a]RMA, ",2,CLK
LIV,H. Davies,G,3.5,-5.0,-1.4,-40.0,"GW1[a]RMA, ",2,CLK
LIV,T. Alexander-Arnold,F,5.0,36.6,7.3,-13.2,"GW1[a]RMA, ",2,CLK
LIV,V. van Dijk,F,4.5,34.0,7.6,-10.7,"GW1[a]RMA, ",2,CLK
LIV,A. Robertson,F,4.5,0.0,0.0,-44.7,"GW1[a]RMA, ",2,CLK
LIV,J. Matip,F,4.0,0.0,0.0,-39.9,"GW1[a]RMA, ",2,CLK
LIV,J. Gomez,F,3.5,0.0,0.0,-34.7,"GW1[a]RMA, ",2,CLK
LIV,I. Konate,F,3.0,28.6,9.5,-1.4,"GW1[a]RMA, ",2,CLK
LIV,K. Tsimikas,F,3.0,35.3,11.8,5.3,"GW1[a]RMA, ",2,CLK
LIV,S. Bajcetic,F,2.5,0.0,0.0,-24.7,"GW1[a]RMA, ",2,CLK
LIV,R. Williams,F,2.0,0.0,0.0,-20.0,"GW1[a]RMA, ",2,CLK
LIV,N. Phillips,F,2.0,0.0,0.0,-20.0,"GW1[a]RMA, ",2,CLK
LIV,T. Alcantara,M,4.0,26.9,6.7,-13.1,"GW1[a]RMA, ",2,CLK
LIV,Fabinho,M,4.0,20.8,5.2,-18.9,"GW1[a]RMA, ",2,CLK
LIV,H. Elliott,M,3.5,0.0,0.0,-34.7,"GW1[a]RMA, ",2,CLK
LIV,J. Henderson,M,3.5,0.0,0.0,-34.7,"GW1[a]RMA, ",2,CLK
LIV,A. Oxlade-Chamberlain,M,3.0,0.0,0.0,-30.0,"GW1[a]RMA, ",2,CLK
LIV,N. Keita,M,3.0,0.0,0.0,-30.0,"GW1[a]RMA, ",2,CLK
LIV,C. Jones,M,2.5,33.9,13.6,8.9,"GW1[a]RMA, ",2,CLK
LIV,J. Milner,M,2.5,26.0,10.4,1.0,"GW1[a]RMA, ",2,CLK
LIV,M. Salah,A,8.7,78.1,9.0,-8.5,"GW1[a]RMA, ",2,CLK
LIV,D. Nunez,A,6.6,0.0,0.0,-66.2,"GW1[a]RMA, ",2,CLK
LIV,L. Diaz,A,5.0,0.0,0.0,-50.0,"GW1[a]RMA, ",2,CLK
LIV,D. Jota,A,5.0,0.0,0.0,-49.8,"GW1[a]RMA, ",2,CLK
LIV,C. Gakpo,A,5.0,0.0,0.0,-49.8,"GW1[a]RMA, ",2,CLK
LIV,R. Firmino,A,4.5,53.4,11.9,8.5,"GW1[a]RMA, ",2,CLK
LIV,F. Carvalho,A,3.0,0.0,0.0,-30.0,"GW1[a]RMA, ",2,CLK
MAC,E. Moraes,G,5.0,8.6,1.7,-41.7,"GW1[h]RBL, ",2,CLK
MAC,S. Ortega Moreno,G,4.5,88.9,19.8,43.9,"GW1[h]RBL, ",2,CLK
MAC,S. Carson,G,4.0,-5.0,-1.3,-45.0,"GW1[h]RBL, ",2,CLK
MAC,R. Dias,F,4.5,60.1,13.3,14.9,"GW1[h]RBL, ",2,CLK
MAC,K. Walker,F,4.5,0.0,0.0,-45.1,"GW1[h]RBL, ",2,CLK
MAC,N. Ake,F,4.0,0.0,0.0,-40.1,"GW1[h]RBL, ",2,CLK
MAC,M. Akanji,F,3.5,0.0,0.0,-35.1,"GW1[h]RBL, ",2,CLK
MAC,J. Stones,F,3.5,0.0,0.0,-35.0,"GW1[h]RBL, ",2,CLK
MAC,S. Gomez Martin,F,3.5,72.3,20.7,37.3,"GW1[h]RBL, ",2,CLK
MAC,R. Lewis,F,3.0,60.8,20.3,30.9,"GW1[h]RBL, ",2,CLK
MAC,A. Laporte,F,3.0,63.2,21.1,33.3,"GW1[h]RBL, ",2,CLK
MAC,K. De Bruyne,M,6.5,0.0,0.0,-65.0,"GW1[h]RBL, ",2,CLK
MAC,P. Foden,M,6.0,97.1,16.2,37.2,"GW1[h]RBL, ",2,CLK
MAC,I. Gündogan,M,5.1,84.8,16.7,34.0,"GW1[h]RBL, ",2,CLK
MAC,J. Grealish,M,4.5,78.9,17.5,33.8,"GW1[h]RBL, ",2,CLK
MAC,B. Silva,M,4.5,0.0,0.0,-45.1,"GW1[h]RBL, ",2,CLK
MAC,R. Hernandez,M,4.0,0.0,0.0,-40.1,"GW1[h]RBL, ",2,CLK
MAC,K. Phillips,M,3.0,0.0,0.0,-30.0,"GW1[h]RBL, ",2,CLK
