team,player,pos,value [m],xV GW1 [k],xV GW1-3 [k],xV GW1-5 [k],xV seas [k],xP%gebyr_GW_1-3 [k],xP_GW_1-3 [k],xG_GW_1-3,xGI_GW_1-3,xP_GW1 [k],xV GW1 [k],xP%gebyr_GW1 [k],xG_GW1,xGI_GW1,xP%gebyr_GW_1-5 [k],xP_GW_1-5 [k],xG_GW_1-5,xGI_GW_1-5,xP_GW_all [k],xG_GW_all,xGI_GW_all,xP%gebyr_GW_all [k],sp_GW1,xGP,pop,xG%,xA%,game
BAY,R. Gravenberch,M,4.0,0.0,0.0,0.0,0.0,-40.3,0.0,0.0,0.0,0.0,0.0,-40.3,0.0,0.0,-40.3,0.0,0.0,0.0,0.0,0.0,0.0,-40.3,,,0.13,0.06,0.07,CLK
BAY,P. Wanner,M,2.5,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,,,0.0,0.09,0.05,CLK
BAY,S. Mane,A,8.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,,,0.0,0.19,0.17,CLK
BAY,J. Musiala,A,7.5,9.4,3.1,1.9,1.6,-4.7,70.7,0.26,0.42,70.7,9.4,-4.7,0.26,0.42,-4.7,70.7,0.26,0.42,70.7,0.26,0.42,-4.7,0.95,0.95,5.29,0.15,0.14,CLK
BAY,L. Sane,A,7.5,9.0,3.0,1.8,1.5,-7.8,67.6,0.25,0.39,67.6,9.0,-7.8,0.25,0.39,-7.8,67.6,0.25,0.39,67.6,0.25,0.39,-7.8,0.95,0.95,1.42,0.15,0.11,CLK
BAY,S. Gnabry,A,7.0,0.0,0.0,0.0,0.0,-70.3,0.0,0.0,0.0,0.0,0.0,-70.3,0.0,0.0,-70.3,0.0,0.0,0.0,0.0,0.0,0.0,-70.3,,,0.13,0.16,0.14,CLK
BAY,T. Müller,A,6.5,0.0,0.0,0.0,0.0,-65.3,0.0,0.0,0.0,0.0,0.0,-65.3,0.0,0.0,-65.3,0.0,0.0,0.0,0.0,0.0,0.0,-65.3,,,0.32,0.13,0.19,CLK
BAY,E. Choupo-Moting,A,6.1,15.6,5.2,3.1,2.6,33.8,94.4,0.42,0.52,94.4,15.6,33.8,0.42,0.52,33.8,94.4,0.42,0.52,94.4,0.42,0.52,33.8,0.95,0.95,12.07,0.25,0.09,CLK
BAY,K. Coman,A,5.7,10.9,3.6,2.2,1.8,5.4,62.7,0.21,0.38,62.7,10.9,5.4,0.21,0.38,5.4,62.7,0.21,0.38,62.7,0.21,0.38,5.4,0.95,0.95,9.28,0.13,0.14,CLK
BAY,M. Tel,A,3.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,,,0.19,0.2,0.04,CLK
BAY,A. Ibrahimovic,A,2.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,,,0.0,0.08,0.1,CLK
BEN,O. Vlachodimos,G,4.1,18.7,6.2,3.7,3.1,36.1,77.4,0.0,0.0,77.4,18.7,36.1,0.0,0.0,36.1,77.4,0.0,0.0,77.4,0.0,0.0,36.1,1.0,1.0,38.58,0.0,0.0,CLK
BEN,S. Soares,G,3.5,-1.4,-0.5,-0.3,-0.2,-40.0,-5.0,0.0,0.0,-5.0,-1.4,-40.0,0.0,0.0,-40.0,-5.0,0.0,0.0,-5.0,0.0,0.0,-40.0,0.0,0.0,0.0,0.0,0.0,CLK
BEN,A. Gomes,G,2.5,-2.0,-0.7,-0.4,-0.3,-30.0,-5.0,0.0,0.0,-5.0,-2.0,-30.0,0.0,0.0,-30.0,-5.0,0.0,0.0,-5.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,CLK
BEN,A. Grimaldo,F,4.6,17.4,5.8,3.5,2.9,33.9,80.0,0.07,0.25,80.0,17.4,33.9,0.07,0.25,33.9,80.0,0.07,0.25,80.0,0.07,0.25,33.9,1.0,1.0,16.9,0.04,0.14,CLK
BEN,A. Silva,F,3.1,21.6,7.2,4.3,3.6,36.0,67.1,0.05,0.08,67.1,21.6,36.0,0.05,0.08,36.0,67.1,0.05,0.08,67.1,0.05,0.08,36.0,1.0,1.0,42.12,0.03,0.02,CLK
