player,team,PF,P_all,P_T100,P_T1000,CP_all,CP_T100,CP_T1000,CP_all_diff,CP_T100_diff,CP_T1000_diff,P_all_diff,P_T100_diff,P_T1000_diff,P_rookies%,P_exp%,P_vets%,trend,pos,game
D. Malen,BVB,2.4,2.7,5.0,2.8,,,,,,,2.5,5.0,2.4,1.9,3.5,1.9,-5.4,A,BL
C. Kramer,BMG,2.4,2.6,1.0,2.5,,,,,,,-0.1,-1.0,-0.1,1.6,2.5,3.4,-3.6,M,BL
M. Diaby,B04,2.3,1.8,1.0,0.9,,,,,,,-0.9,0.0,-1.2,3.5,1.6,1.1,8.1,A,BL
J. Kaminski,WOB,2.3,2.3,1.0,2.0,,,,,,,-1.3,0.0,-1.3,1.9,2.0,3.2,0.0,M,BL
L. Maina,KOE,2.3,2.5,3.0,2.3,,,,,,,-0.1,0.0,0.0,2.8,2.5,2.1,-2.7,M,BL
R. Veiga,FCA,2.3,2.1,4.0,1.7,,,,,,,0.6,3.0,0.6,1.3,1.5,3.6,2.7,M,BL
S. Lainer,BMG,2.2,2.4,0.0,1.8,,,,,,,2.0,0.0,1.6,2.8,2.8,1.5,-2.7,F,BL
M. Flekken,SCF,2.0,2.0,1.0,2.1,,,,,,,0.0,0.0,-0.2,1.9,2.6,0.9,0.9,G,BL
L. Hradecky,B04,2.0,1.9,4.0,1.6,,,,,,,-0.4,0.0,-0.3,1.6,2.6,0.9,1.8,G,BL
K. Dolberg,HOF,1.9,2.3,0.0,1.2,,,,,,,-3.0,-1.0,-2.9,2.8,2.9,0.9,-5.4,A,BL
B. Pavard,BAY,1.9,1.8,2.0,1.9,,,,,,,0.2,0.0,0.9,1.3,1.9,2.1,0.9,F,BL
S. Bornauw,WOB,1.9,2.3,0.0,2.0,,,,,,,-3.7,-2.0,-3.2,2.5,2.9,1.1,-6.3,F,BL
S. Nsoki,HOF,1.8,1.8,0.0,1.5,,,,,,,-1.3,0.0,-0.9,0.6,1.3,3.6,0.0,F,BL
J. Kimmich,BAY,1.8,1.6,3.0,1.4,,,,,,,0.1,2.0,0.2,1.9,1.6,1.5,2.7,M,BL
F. Bredlow,VFB,1.8,2.0,4.0,2.1,,,,,,,0.6,2.0,0.9,0.6,1.6,3.4,-2.7,G,BL
A. Kral,S04,1.8,1.3,0.0,1.1,,,,,,,1.1,0.0,1.0,0.9,0.9,2.1,8.1,M,BL
C. Hudson-Odoi,B04,1.8,2.3,0.0,1.7,,,,,,,0.1,0.0,-0.2,2.8,2.8,1.3,-9.0,M,BL
A. Plea,BMG,1.7,1.7,1.0,1.2,,,,,,,0.9,1.0,0.4,1.3,2.1,1.3,0.0,A,BL
F. Kainz,KOE,1.7,2.1,1.0,1.5,,,,,,,-0.2,-1.0,-0.5,2.5,2.1,1.7,-6.3,M,BL
Y. Gerhardt,WOB,1.7,1.4,0.0,1.0,,,,,,,-0.3,0.0,-0.1,1.6,1.8,0.6,4.5,M,BL
J. Gouweleeuw,FCA,1.7,1.8,1.0,1.8,,,,,,,0.2,0.0,0.4,1.3,1.9,1.9,-1.8,F,BL
D. Klein,FCA,1.7,1.7,0.0,1.7,,,,,,,0.1,0.0,0.0,4.1,1.4,0.6,-0.9,G,BL
M. Jenz,S04,1.7,1.7,0.0,1.7,,,,,,,1.5,0.0,1.5,1.9,1.5,1.9,-0.9,F,BL
M. de Ligt,BAY,1.6,1.6,1.0,1.6,,,,,,,0.3,1.0,0.7,0.9,1.6,1.9,0.9,F,BL
