player,team,PF,P_all,P_T100,P_T1000,CP_all,CP_T100,CP_T1000,CP_all_diff,CP_T100_diff,CP_T1000_diff,P_all_diff,P_T100_diff,P_T1000_diff,P_rookies%,P_exp%,P_vets%,trend,pos,game
R. Tapia,CDV,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,M,LL
W. Swedberg,CDV,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.4,0.0,0.0,0.0,M,LL
G. Paciencia,CDV,0.1,0.1,0.0,0.1,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,A,LL
A. Werner,ELC,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,G,LL
J. Navarro,ELC,0.1,0.1,0.0,0.1,,,,,,,-0.1,0.0,-0.1,0.0,0.2,0.0,0.0,G,LL
C. Clerc Martinez,ELC,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,F,LL
C. Marco Soler,ELC,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,F,LL
T. Morente,ELC,0.1,0.1,0.0,0.1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,M,LL
A. Collado,ELC,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,A,LL
S. Gomez Sola,ESP,0.1,0.1,0.0,0.1,,,,,,,0.0,0.0,0.0,0.4,0.0,0.0,0.0,F,LL
F. Calero,ESP,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,F,LL
G. Alvarez,GET,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,F,LL
A. Algobia,GET,0.1,0.1,0.0,0.0,,,,,,,-0.1,0.0,-0.1,0.0,0.2,0.0,0.0,M,LL
G. Villar,GET,0.1,0.1,0.0,0.1,,,,,,,-0.1,-1.0,-0.1,0.0,0.2,0.0,0.0,M,LL
C. Portugues,GET,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,A,LL
J. Latasa,GET,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,A,LL
J. Carlos Corral,GIR,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,G,LL
D. Lopez,GIR,0.1,0.1,0.0,0.1,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,F,LL
B. Farres,GIR,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,F,LL
R. Artero,GIR,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,M,LL
C. Stuani,GIR,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.4,0.0,0.0,0.0,A,LL
R. Battaglia,MCA,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,M,LL
A. Sanchez,MCA,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,M,LL
A. Ndiaye Diedhiou,MCA,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,A,LL
M. Sanchez,OSA,0.1,0.1,0.0,0.1,,,,,,,0.0,0.0,0.1,0.0,0.0,0.2,0.0,F,LL
U. Garcia,OSA,0.1,0.1,0.0,0.1,,,,,,,0.0,0.0,0.0,0.4,0.0,0.0,0.0,F,LL
J. Herrando Oroz,OSA,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,F,LL
M. Bordonado,OSA,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,M,LL
R. Garcia,OSA,0.1,0.1,0.0,0.1,,,,,,,0.0,0.0,0.0,0.4,0.0,0.0,0.0,M,LL
D. Brasanac,OSA,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.4,0.0,0.0,0.0,M,LL
E. Avila,OSA,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.4,0.0,0.0,0.0,A,LL
E. Garcia,OSA,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,A,LL
P. Chavarria,RVA,0.1,0.1,0.0,0.1,,,,,,,-0.1,0.0,-0.1,0.0,0.0,0.2,0.0,F,LL
U. Lopez,RVA,0.1,0.1,0.0,0.1,,,,,,,0.0,0.0,0.0,0.4,0.0,0.0,0.0,M,LL
P. Munoz,RVA,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,M,LL
V. Tobias,RMA,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.4,0.0,0.0,0.0,F,LL
E. Hazard,RMA,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.4,0.0,0.0,0.0,A,LL
A. Gorosabel,RSO,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,F,LL
U. González,RSO,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,F,LL
A. Flores,SEV,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,G,LL
M. Arbol,SEV,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,G,LL
D. Hormigo,SEV,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.4,0.0,0.0,0.0,F,LL
T. Correia,VAL,0.1,0.1,0.0,0.1,,,,,,,-0.1,0.0,0.0,0.0,0.2,0.0,0.0,F,LL
D. Foulquier,VAL,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,F,LL
I. Moriba,VAL,0.1,0.1,0.0,0.0,,,,,,,-0.1,0.0,0.0,0.0,0.0,0.2,0.0,M,LL
F. Pérez,VAL,0.1,0.1,0.0,0.1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,M,LL
L. Rosa,VLL,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,F,LL
R. Rodriguez,VLL,0.1,0.1,0.0,0.1,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,M,LL
A. Aguado,VLL,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,M,LL
M. Hongla,VLL,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,M,LL
D. Machis,VLL,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,A,LL
F. Jorgensen,VIL,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.4,0.0,0.0,0.0,G,LL
S. Carreira,VIL,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,F,LL
R. Terrats,VIL,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,M,LL
H. Hassan,VIL,0.1,0.1,0.0,0.1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,M,LL
C. Adriano Garcia,VIL,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,M,LL
D. Collado,VIL,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,A,LL
S. Arribas Calvo,RMA,0.0,0.2,0.0,0.1,,,,,,,0.0,0.0,0.0,0.0,0.3,0.0,-1.8,M,LL
J. Iglesias,GET,0.0,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.4,0.0,0.0,-0.9,F,LL
S. Herrera,OSA,0.0,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,-0.9,G,LL
A. Gomez,SEV,0.0,0.1,0.0,0.1,,,,,,,0.0,0.0,0.0,0.4,0.0,0.0,-0.9,M,LL
Kenedy,VLL,0.0,0.1,0.0,0.1,,,,,,,0.0,0.0,0.0,0.4,0.0,0.0,-0.9,M,LL
G. Kondogbia,ATM,0.0,0.3,0.0,0.0,,,,,,,-0.4,0.0,-0.3,1.6,0.0,0.0,-4.5,M,LL
E. Håland,MAC,68.2,68.2,93.0,87.7,,,,,,,-7.2,-5.0,-6.3,68.1,68.4,68.1,-3.6,A,PL
E. Nketiah,ARS,66.6,68.6,94.0,93.0,,,,,,,10.9,20.0,20.2,63.5,73.6,73.6,-221.4,A,PL
S. Bajcetic,LIV,50.3,52.5,89.0,84.8,,,,,,,37.6,65.0,66.3,45.4,59.1,59.9,-230.4,F,PL
B. Saka,ARS,49.5,49.2,94.0,88.2,,,,,,,22.1,57.0,47.3,46.7,51.8,50.9,32.4,M,PL
O. Zinchenko,ARS,39.1,38.6,80.0,73.4,,,,,,,18.9,46.0,43.7,34.0,41.9,46.2,55.8,F,PL
R. Lewis,MAC,36.7,36.4,46.0,39.4,,,,,,,-17.0,-34.0,-32.9,33.0,38.9,41.8,36.9,F,PL
S. March,BRI,34.0,33.6,23.0,25.6,,,,,,,-37.0,-73.0,-70.2,36.9,32.0,25.7,37.8,M,PL
K. Mitoma,BRI,34.0,30.4,30.0,29.3,,,,,,,-36.6,-69.0,-64.8,31.4,30.4,26.4,378.9,M,PL
D. Nunez,LIV,27.7,29.6,40.0,43.5,,,,,,,26.0,40.0,43.2,25.7,33.6,32.9,-202.5,A,PL
A. Ramsdale,ARS,24.5,24.5,56.0,52.5,,,,,,,13.9,51.0,39.0,21.6,26.5,29.8,7.2,G,PL
M. Rashford,MAU,18.5,17.0,8.0,6.9,,,,,,,-36.0,-89.0,-83.6,22.2,13.3,8.1,152.1,A,PL
M. Ødegaard,ARS,17.1,17.1,25.0,18.2,,,,,,,7.6,23.0,14.7,17.5,17.5,14.2,0.9,M,PL
J. Tarkowski,EVE,16.1,16.7,20.0,26.3,,,,,,,5.3,-8.0,3.8,15.1,18.0,18.8,-62.1,F,PL
J. Grealish,MAC,15.5,15.7,21.0,24.0,,,,,,,1.3,2.0,3.6,16.4,15.5,13.5,-25.2,M,PL
A. Ogbonna,WHU,14.5,15.3,39.0,38.8,,,,,,,14.2,39.0,38.2,12.4,17.6,20.0,-83.7,F,PL
R. Mahrez,MAC,14.0,14.2,7.0,10.7,,,,,,,-3.0,-4.0,-2.5,14.2,14.5,13.2,-24.3,A,PL
Willian,FUL,13.0,13.9,23.0,20.6,,,,,,,12.5,23.0,19.9,13.2,15.2,12.9,-96.3,M,PL
C. Gakpo,LIV,13.0,14.3,13.0,16.1,,,,,,,12.6,12.0,15.8,13.2,15.2,16.1,-141.3,A,PL
K. Trippier,NEW,12.3,12.4,0.0,1.5,,,,,,,-8.8,-7.0,-9.5,17.3,8.3,5.6,-10.8,F,PL
L. Trossard,ARS,10.9,10.3,9.0,11.5,,,,,,,2.4,1.0,1.2,9.6,11.1,10.5,57.6,M,PL
J. Sa,WOL,10.5,11.0,9.0,11.9,,,,,,,-3.9,-6.0,-9.8,8.5,13.0,14.9,-52.2,G,PL
M. Salah,LIV,10.0,10.4,8.0,8.0,,,,,,,7.2,8.0,7.9,8.0,11.7,16.4,-43.2,A,PL
H. Elliott,LIV,9.6,10.1,11.0,9.7,,,,,,,7.5,11.0,9.7,8.7,11.0,12.6,-52.2,M,PL
M. Jensen,BRE,9.2,8.5,4.0,2.6,,,,,,,-4.0,-6.0,-6.5,11.9,5.9,2.7,77.4,M,PL
M. Mudryk,CHE,9.0,9.2,1.0,2.3,,,,,,,-6.7,-8.0,-7.4,9.8,8.8,7.5,-22.5,M,PL
K. Tete,FUL,8.2,8.5,15.0,10.2,,,,,,,4.5,7.0,5.6,9.7,8.1,5.2,-34.2,F,PL
R. Sanchez,BRI,8.1,7.5,3.0,2.1,,,,,,,-6.7,-6.0,-9.9,9.4,6.4,3.3,67.5,G,PL
B. Fernandes,MAU,8.1,7.9,1.0,2.8,,,,,,,-11.9,-47.0,-31.3,8.1,8.1,6.7,17.1,M,PL
N. Ake,MAC,7.9,7.9,5.0,5.6,,,,,,,-0.1,1.0,-0.5,7.4,8.2,9.7,-0.9,F,PL
S. Botman,NEW,7.3,7.4,0.0,1.1,,,,,,,-6.8,-4.0,-9.4,10.2,5.3,2.7,-6.3,F,PL
A. Garnacho,MAU,7.2,7.0,0.0,1.2,,,,,,,-4.5,-4.0,-5.1,9.5,4.8,3.5,30.6,A,PL
N. Pope,NEW,7.2,7.2,0.0,0.3,,,,,,,-9.1,-7.0,-8.9,10.1,4.8,3.2,-5.4,G,PL
Jorginho,ARS,7.1,7.3,2.0,5.6,,,,,,,5.4,2.0,4.6,6.8,7.8,7.4,-13.5,M,PL
A. Pereira,FUL,7.1,7.4,10.0,8.3,,,,,,,4.7,10.0,7.3,8.8,5.7,7.2,-33.3,M,PL
A. Maitland-Niles,SOU,6.9,7.3,9.0,13.8,,,,,,,6.2,9.0,13.7,6.7,7.8,8.2,-35.1,M,PL
N. Semedo,WOL,6.6,7.0,8.0,7.8,,,,,,,-4.6,-10.0,-12.4,5.5,8.5,8.7,-45.0,F,PL
T. Silva,CHE,6.1,6.4,1.0,2.5,,,,,,,-2.7,-5.0,-3.2,6.7,6.1,6.1,-33.3,F,PL
K. Arrizabalaga,CHE,6.1,6.1,2.0,3.3,,,,,,,-1.9,-2.0,-2.0,5.5,6.7,6.2,-3.6,G,PL
L. Martinez,MAU,6.0,5.8,0.0,1.2,,,,,,,-9.4,-22.0,-16.6,6.5,5.6,3.7,18.9,F,PL
H. Bueno,WOL,6.0,6.1,5.0,4.6,,,,,,,-0.3,0.0,-4.1,5.2,6.8,7.7,-16.2,F,PL
D. de Gea,MAU,5.9,5.8,3.0,2.3,,,,,,,-7.0,-35.0,-21.5,6.3,5.6,4.9,9.0,G,PL
E. Ferguson,BRI,5.7,3.1,0.0,0.7,,,,,,,-2.5,-2.0,-1.7,3.3,3.0,2.6,279.9,A,PL
W. Saliba,ARS,5.7,5.7,8.0,4.6,,,,,,,1.9,7.0,1.8,5.9,5.2,6.6,0.9,F,PL
J. Pickford,EVE,5.5,5.7,5.0,6.9,,,,,,,3.5,1.0,4.4,4.9,6.5,5.7,-21.6,G,PL
A. Mac Allister,BRI,5.4,4.2,2.0,1.0,,,,,,,-3.2,-1.0,-4.4,6.2,2.1,2.3,135.9,M,PL
K. Havertz,CHE,5.4,5.4,0.0,0.3,,,,,,,-2.6,-1.0,-1.7,4.3,6.0,8.1,-2.7,M,PL
G. Martinelli,ARS,5.3,4.5,7.0,2.4,,,,,,,1.7,7.0,2.0,5.5,3.7,3.3,87.3,A,PL
V. Mykolenko,EVE,5.0,5.2,5.0,7.2,,,,,,,1.6,1.0,0.4,4.6,5.4,6.7,-17.1,F,PL
E. Moraes,MAC,4.9,4.9,7.0,5.0,,,,,,,-0.1,-2.0,-0.1,4.5,5.0,6.4,-3.6,G,PL
J. Felix,CHE,4.9,4.8,0.0,1.5,,,,,,,-4.2,-2.0,-3.1,4.6,5.2,4.1,9.9,A,PL
R. Neves,WOL,4.9,5.2,7.0,6.1,,,,,,,1.4,3.0,3.2,5.0,5.4,5.4,-37.8,M,PL
T. Lamptey,BRI,4.7,4.3,0.0,1.1,,,,,,,-4.1,-5.0,-4.7,5.5,3.6,2.0,42.3,F,PL
K. Walker,MAC,4.5,4.5,3.0,3.1,,,,,,,1.1,1.0,1.6,5.4,3.8,3.2,-0.9,F,PL
M. Akanji,MAC,4.4,4.4,0.0,3.2,,,,,,,-2.0,-1.0,-2.8,3.4,5.0,7.0,-0.9,F,PL
J. Willock,NEW,4.4,4.4,0.0,0.0,,,,,,,-1.8,0.0,-0.7,6.4,2.6,2.5,-4.5,M,PL
B. Mbeumo,BRE,4.4,3.5,0.0,0.1,,,,,,,-2.4,-1.0,-3.0,4.4,2.7,2.6,89.1,M,PL
H. Kane,TOT,4.2,4.0,0.0,0.4,,,,,,,-0.2,0.0,0.0,3.8,3.9,5.5,19.8,A,PL
M. Cucurella,CHE,4.1,4.2,0.0,0.2,,,,,,,-2.0,-4.0,-1.7,3.5,4.7,5.0,-5.4,F,PL
M. Gibbs-White,NOT,4.1,4.3,10.0,5.2,,,,,,,3.8,9.0,5.1,3.7,4.9,4.9,-18.9,M,PL
F. Downes,WHU,4.1,4.4,8.0,8.4,,,,,,,4.4,8.0,8.4,3.8,5.0,4.6,-33.3,M,PL
E. Pinnock,BRE,4.0,3.0,0.0,0.7,,,,,,,-2.2,-5.0,-4.7,3.8,2.5,1.3,115.2,F,PL
B. Leno,FUL,4.0,4.2,7.0,3.0,,,,,,,2.9,3.0,1.9,4.9,3.9,2.7,-22.5,G,PL
P. Sarabia,WOL,4.0,4.2,6.0,4.0,,,,,,,0.1,3.0,0.5,2.8,4.8,7.8,-24.3,M,PL
T. Alexander-Arnold,LIV,3.9,4.1,2.0,3.1,,,,,,,3.4,1.0,2.9,3.4,4.7,5.6,-20.7,F,PL
I. Toney,BRE,3.8,3.0,0.0,0.0,,,,,,,-1.6,0.0,-0.7,4.3,2.0,1.6,81.9,A,PL
V. Coufal,WHU,3.8,4.1,8.0,7.0,,,,,,,3.2,8.0,6.8,3.1,5.0,5.6,-34.2,F,PL
J. Ward-Prowse,SOU,3.8,3.9,2.0,2.8,,,,,,,2.3,2.0,2.7,3.7,4.0,4.3,-7.2,M,PL
D. Burn,NEW,3.8,3.8,0.0,0.4,,,,,,,-5.2,-2.0,-6.3,4.6,3.5,1.6,-3.6,F,PL
D. Gnonto,LEE,3.7,4.1,3.0,4.0,,,,,,,1.6,2.0,3.0,4.0,4.1,3.9,-37.8,A,PL
A. Doucoure,EVE,3.6,3.8,4.0,3.9,,,,,,,2.7,3.0,2.7,2.8,4.1,6.7,-23.4,M,PL
P. Estupinan,BRI,3.4,3.2,1.0,0.9,,,,,,,-10.1,-22.0,-17.2,4.0,2.7,1.5,22.5,F,PL
I. Diop,FUL,3.4,3.6,8.0,3.8,,,,,,,2.4,7.0,3.1,3.6,4.0,2.0,-21.6,F,PL
G. Xhaka,ARS,3.4,3.5,1.0,1.5,,,,,,,1.2,1.0,0.7,3.7,3.7,1.9,-10.8,M,PL
I. Konate,LIV,3.3,3.2,0.0,0.6,,,,,,,-0.1,0.0,0.1,3.4,2.8,3.4,16.2,F,PL
K. De Bruyne,MAC,3.3,3.3,0.0,0.1,,,,,,,-2.7,0.0,-0.8,3.4,3.2,3.4,-1.8,M,PL
G. Bazunu,SOU,3.3,3.3,0.0,1.2,,,,,,,1.0,-1.0,0.7,2.4,3.7,5.6,-5.4,G,PL
L. Bailey,ASV,3.2,3.2,1.0,1.7,,,,,,,1.0,1.0,1.2,3.4,3.0,3.1,3.6,M,PL
A. Oxlade-Chamberlain,LIV,3.2,3.3,0.0,0.7,,,,,,,0.4,0.0,0.6,3.3,3.0,4.5,-13.5,M,PL
M. Almiron,NEW,3.2,3.2,0.0,0.0,,,,,,,-1.4,-1.0,-0.5,4.4,2.2,1.6,0.0,M,PL
A. Becker,LIV,3.1,3.3,1.0,2.2,,,,,,,2.6,1.0,1.9,3.1,3.3,4.1,-19.8,G,PL
B. White,ARS,3.1,3.1,2.0,1.9,,,,,,,1.0,0.0,1.0,2.8,3.1,4.0,2.7,F,PL
C. Dawson,WOL,3.0,3.3,4.0,3.3,,,,,,,-1.5,-2.0,-3.1,1.8,4.2,6.1,-23.4,F,PL
V. van Dijk,LIV,3.0,3.1,5.0,4.1,,,,,,,2.9,5.0,4.1,2.5,3.4,4.3,-12.6,F,PL
J. Sarmiento,BRI,2.8,2.7,0.0,1.1,,,,,,,-4.6,-4.0,-5.9,2.9,2.7,1.7,14.4,M,PL
R. Koch,LEE,2.8,3.0,5.0,4.3,,,,,,,1.7,4.0,2.5,2.6,3.3,3.4,-17.1,F,PL
D. Raya,BRE,2.7,2.1,0.0,0.2,,,,,,,-0.9,-2.0,-2.2,2.8,1.7,0.9,62.1,G,PL
E. Eze,CRP,2.6,2.6,0.0,0.2,,,,,,,0.2,0.0,-0.2,2.8,2.4,2.5,0.9,M,PL
I. Meslier,LEE,2.6,2.7,3.0,2.5,,,,,,,1.6,3.0,2.0,2.7,2.8,2.7,-10.8,G,PL
G. Magalhaes,ARS,2.6,2.6,3.0,2.5,,,,,,,0.4,3.0,1.1,1.6,2.9,5.8,1.8,F,PL
R. Perraud,SOU,2.6,2.7,0.0,1.2,,,,,,,0.8,0.0,0.7,1.9,3.2,4.2,-9.0,F,PL
N. Madueke,CHE,2.6,2.6,3.0,1.5,,,,,,,-2.0,-1.0,-0.7,2.3,3.1,2.7,-5.4,M,PL
A. Martial,MAU,2.6,2.6,0.0,0.0,,,,,,,-0.2,0.0,0.0,2.3,2.4,4.7,-2.7,A,PL
A. Laporte,MAC,2.6,2.6,5.0,2.5,,,,,,,-2.8,-4.0,-5.2,3.0,2.2,2.4,-9.0,F,PL
O. Watkins,ASV,2.5,2.2,4.0,5.9,,,,,,,1.7,4.0,5.9,2.7,1.8,1.7,34.2,A,PL
L. Dunk,BRI,2.5,2.0,1.0,0.4,,,,,,,-3.2,-6.0,-4.4,2.4,1.8,1.1,53.1,F,PL
Fred,MAU,2.5,2.5,0.0,0.7,,,,,,,-2.8,-5.0,-5.0,3.0,2.4,1.2,-3.6,M,PL
B. Mee,BRE,2.5,1.9,0.0,0.2,,,,,,,-1.3,-3.0,-2.3,2.9,1.1,0.6,56.7,F,PL
L. Fabianski,WHU,2.4,2.6,0.0,2.2,,,,,,,2.1,0.0,2.2,2.5,2.8,2.6,-21.6,G,PL
Joelinton,NEW,2.4,2.4,0.0,0.0,,,,,,,-2.4,-1.0,-0.9,3.4,1.6,1.3,-2.7,M,PL
M. Nunes,WOL,2.4,2.5,1.0,1.5,,,,,,,0.7,0.0,0.2,1.9,3.0,3.5,-15.3,M,PL
J. Gomez,LIV,2.4,2.6,2.0,2.3,,,,,,,1.0,1.0,1.7,2.9,2.4,2.6,-28.8,F,PL
S. Coleman,EVE,2.3,2.4,1.0,2.7,,,,,,,1.2,-3.0,0.6,2.1,2.5,3.4,-7.2,F,PL
S. Edozie,SOU,2.3,2.3,1.0,0.6,,,,,,,0.2,1.0,-0.2,1.8,2.6,3.8,-6.3,M,PL
J. Firpo,LEE,2.1,2.2,5.0,3.6,,,,,,,1.7,5.0,3.5,1.5,3.0,2.5,-7.2,F,PL
R. Ait-Nouri,WOL,2.0,2.2,1.0,1.3,,,,,,,-3.9,-6.0,-6.3,1.8,2.5,2.7,-15.3,F,PL
E. Martinez,ASV,2.0,1.9,1.0,1.8,,,,,,,0.9,1.0,1.6,2.4,1.5,0.9,10.8,G,PL
J. Henderson,LIV,1.9,2.1,1.0,1.2,,,,,,,1.8,1.0,1.2,2.2,2.0,2.3,-19.8,M,PL
M. Roerslev,BRE,1.9,1.9,0.0,0.2,,,,,,,-1.0,0.0,-2.0,2.2,1.8,0.6,8.1,F,PL
W. Weghorst,MAU,1.9,1.9,0.0,0.0,,,,,,,-2.5,0.0,-2.1,1.8,2.1,1.8,2.7,A,PL
R. Hernandez,MAC,1.9,2.0,3.0,1.1,,,,,,,0.2,1.0,0.5,2.4,1.6,1.3,-3.6,M,PL
I. Perisic,TOT,1.9,1.9,0.0,0.1,,,,,,,0.0,0.0,0.1,2.5,1.3,1.6,-6.3,M,PL
E. Buendia,ASV,1.8,1.7,0.0,0.9,,,,,,,0.7,0.0,0.9,1.6,1.8,2.1,10.8,M,PL
A. Robertson,LIV,1.8,1.9,1.0,0.7,,,,,,,1.3,1.0,0.7,1.6,2.1,2.3,-9.0,F,PL
J. Milner,LIV,1.8,2.1,2.0,3.5,,,,,,,2.0,2.0,3.5,1.8,2.1,3.2,-30.6,M,PL
W. McKennie,LEE,1.8,1.9,0.0,1.9,,,,,,,1.6,0.0,1.9,1.5,2.5,2.0,-17.1,M,PL
E. Palmieri,WHU,1.8,1.9,6.0,4.9,,,,,,,1.8,6.0,4.9,2.0,1.8,1.9,-15.3,F,PL
M. Caicedo,BRI,1.6,1.4,0.0,0.4,,,,,,,-1.5,-1.0,-1.0,1.8,1.1,0.7,22.5,M,PL
R. James,CHE,1.6,1.6,0.0,0.6,,,,,,,-0.8,0.0,-0.2,1.8,1.4,1.9,1.8,F,PL
M. Cunha,WOL,1.6,1.7,0.0,0.6,,,,,,,-0.1,0.0,0.0,1.4,1.8,2.7,-10.8,A,PL
J. Alvarez,MAC,1.5,1.5,0.0,0.7,,,,,,,-0.8,-1.0,0.1,1.3,1.8,1.4,0.0,A,PL
I. Gündogan,MAC,1.5,1.5,0.0,0.2,,,,,,,0.2,0.0,0.1,1.7,1.4,1.3,-3.6,M,PL
N. Keita,LIV,1.4,1.6,0.0,1.4,,,,,,,1.1,0.0,1.4,1.0,1.6,4.3,-22.5,M,PL
L. Shaw,MAU,1.4,1.4,0.0,0.4,,,,,,,-1.3,-5.0,-2.8,1.8,1.1,0.7,0.9,F,PL
J. Matip,LIV,1.4,1.5,0.0,1.5,,,,,,,1.2,0.0,1.5,1.0,1.8,2.3,-9.0,F,PL
D. Rice,WHU,1.4,1.4,2.0,1.7,,,,,,,1.1,2.0,1.7,1.7,1.2,1.1,-6.3,M,PL
A. Wan-Bissaka,MAU,1.3,1.3,0.0,0.1,,,,,,,-0.8,0.0,-0.8,1.5,1.2,0.9,3.6,F,PL
I. Gueye,EVE,1.3,1.5,0.0,0.8,,,,,,,1.1,0.0,0.6,1.2,1.6,2.5,-17.1,M,PL
C. Vinicius,FUL,1.3,1.4,0.0,0.6,,,,,,,1.3,0.0,0.6,1.4,1.4,1.1,-2.7,A,PL
R. Lavia,SOU,1.3,1.4,1.0,1.9,,,,,,,1.3,1.0,1.9,1.1,1.5,2.4,-7.2,M,PL
T. Malacia,MAU,1.3,1.3,0.0,0.0,,,,,,,-0.5,0.0,-0.3,1.8,0.9,0.2,0.9,F,PL
L. Hall,CHE,1.3,1.3,0.0,0.0,,,,,,,-0.4,-1.0,-0.3,0.9,1.4,2.5,0.0,M,PL
C. Wilson,NEW,1.2,1.3,0.0,0.0,,,,,,,-0.5,0.0,0.0,1.6,0.8,1.3,-0.9,A,PL
E. Fernandez,CHE,1.2,1.2,0.0,0.2,,,,,,,-0.6,0.0,-0.1,1.5,1.0,0.5,-0.9,M,PL
Lyanco,SOU,1.2,1.2,0.0,0.2,,,,,,,0.1,0.0,-0.1,1.1,1.2,1.6,-1.8,F,PL
T. Ream,FUL,1.2,1.2,1.0,0.9,,,,,,,0.7,-1.0,0.6,1.5,0.9,1.0,-2.7,F,PL
J. Bednarek,SOU,1.1,1.1,0.0,1.5,,,,,,,0.9,0.0,1.5,0.8,1.4,1.3,2.7,F,PL
L. Colwill,BRI,1.1,1.1,0.0,0.0,,,,,,,-0.3,0.0,-0.1,1.4,0.8,1.3,0.0,F,PL
J. Robles,LEE,1.1,1.1,0.0,0.1,,,,,,,0.6,-1.0,-0.1,1.7,0.7,0.2,0.0,G,PL
F. Forster,TOT,1.1,1.1,2.0,1.2,,,,,,,0.3,1.0,0.7,1.0,1.1,1.5,2.7,G,PL
T. Mings,ASV,1.1,1.0,0.0,0.6,,,,,,,0.4,0.0,0.5,1.2,0.9,0.5,7.2,F,PL
J. Palhinha,FUL,1.1,1.2,2.0,0.8,,,,,,,0.8,2.0,0.7,1.5,1.0,0.7,-14.4,M,PL
