team_short,xp/mio GW1-3 [k],xp/mio GW1 [k],xCS_GW1-3,xG_GW1-3,xp/player GW1-3 [k],program,xp/player_seas [k],xCS_GW1,xG_GW1,xCS_seas,xG_seas,xp/mio_seas [k],APP [m],game
FCK,11.3,12.1,1.37,5.47,68.2,"GW1[h]OB, GW2[a]ACH, GW3[h]VFF, ",15.7,0.5,1.89,1.37,5.47,2.6,6.0,SL
AGF,11.2,14.2,1.16,3.75,46.5,"GW1[h]ACH, GW2[a]RFC, GW3[h]OB, ",10.7,0.48,1.42,1.16,3.75,2.6,4.2,SL
OB,9.6,2.9,0.75,3.3,34.1,"GW1[a]FCK, GW2[h]AAB, GW3[a]AGF, ",7.9,0.15,0.7,0.75,3.3,2.2,3.5,SL
RFC,9.5,7.0,0.86,3.37,32.1,"GW1[a]VFF, GW2[h]AGF, GW3[a]AAB, ",7.4,0.23,0.89,0.86,3.37,2.2,3.4,SL
ACH,9.0,6.8,0.66,2.98,27.5,"GW1[a]AGF, GW2[h]FCK, GW3[a]LBK, ",6.3,0.24,0.73,0.66,2.98,2.1,3.0,SL
SIF,9.0,8.8,0.64,4.17,39.1,"GW1[h]FCN, GW2[a]BIF, GW3[h]FCM, ",9.0,0.27,1.24,0.64,4.17,2.1,4.4,SL
VFF,8.9,13.3,0.88,3.54,35.2,"GW1[h]RFC, GW2[h]FCN, GW3[a]FCK, ",8.1,0.41,1.47,0.88,3.54,2.1,3.9,SL
BIF,8.6,10.6,0.79,4.58,43.3,"GW1[a]LBK, GW2[h]SIF, GW3[a]FCN, ",10.0,0.39,1.57,0.79,4.58,2.0,5.1,SL
FCN,8.0,6.7,0.85,4.31,37.9,"GW1[a]SIF, GW2[a]VFF, GW3[h]BIF, ",8.8,0.29,1.31,0.85,4.31,1.9,4.7,SL
LBK,7.9,7.8,0.6,2.88,20.8,"GW1[h]BIF, GW2[a]FCM, GW3[h]ACH, ",4.8,0.21,0.94,0.6,2.88,1.8,2.6,SL
AAB,7.9,5.9,0.72,3.32,31.7,"GW1[h]FCM, GW2[a]OB, GW3[h]RFC, ",7.3,0.24,0.9,0.72,3.32,1.8,4.0,SL
